GSDW12	GSDW
GSDW13	GSDW
GSDW14	GSDW
GSDW15	GSDW
GSDW16	GSDW
IJHG1	IJHG
IJHG3	IJHG
IJHG7	IJHG
IJHG8	IJHG
IJHG9	IJHG
IJWH4	IJWH
IJWH5	IJWH
IJWH6	IJWH
IJWH7	IJWH
IJWH11	IJWH
IJYD10	IJYD
IJYD1	IJYD
IJYD2	IJYD
IJYD8	IJYD
IJBD11	IJBD
IJBD12	IJBD
IJBD13	IJBD
IJBD9	IJBD
MTGA2	MTGA
MTGA3	MTGA
MTGA7	MTGA
MTGA10	MTGA
SOSA7	SOSA
SOSA2	SOSA
SOSA3	SOSA
IJBP10	IJBP
IJBP2	IJBP
IJBP3	IJBP
IJBP5	IJBP
IJBP6	IJBP
IJBP7	IJBP
YYOS11	YYOS
YYOS1	YYOS
YYOS3	YYOS
YYOS5	YYOS
YYOS8	YYOS
MTSA2	MTSA
MTSA3	MTSA
MTSA4	MTSA
MTSA5	MTSA
MTSA8	MTSA
MTSA9	MTSA
CCGE4	CCGE
CCGE5	CCGE
CCGE6	CCGE
CCGE8	CCGE
IJGS10	IJGS
IJGS2	IJGS
IJGS5	IJGS
IJGS7	IJGS
IJGS9	IJGS
HCGW1	HCGW
HCGW3	HCGW
HCGW4	HCGW
HCGW5	HCGW
HCGU2	HCGU
HCGU7	HCGU
HCGU9	HCGU
HCGU14	HCGU
MTCA1	MTCA
MTCA2	MTCA
MTCA3	MTCA
SCDI15	SCDI
SCDI16	SCDI
SCDI17	SCDI
SCDI19	SCDI
SCDI20	SCDI
MTGY2	MTGY
MTGY6	MTGY
MTGY8	MTGY
MTGY9	MTGY
MTUM3	MTUM
MTUM4	MTUM
MTUM7	MTUM
MTUM8	MTUM
YSSS1	YSSS
